isolate_id	species	sequence_type	backbone_cluster	carbapenemase_allele
BAR001	Enterobacter hormaechei	ST78	C02	blaKPC-2
CBO001	Klebsiella pneumoniae	ST218	C04	blaOXA-517-like
COS001	Escherichia coli	ST297	C05	blaNDM-5
FAV001	Klebsiella pneumoniae	ST258	C05	blaNDM-5
GUT001	Klebsiella pneumoniae	ST2632	C04	blaNDM-1
HCE001	Klebsiella pneumoniae	ST258	C05	blaNDM-5
HCF002	Klebsiella pneumoniae	ST11	C05	blaNDM-5
HCF003	Enterobacter hormaechei	ST190	C02	blaKPC-2
HCM001	Klebsiella pneumoniae	ST13	C02	blaKPC-2
HCU001	Proteus mirabilis	-	C04	blaNDM-1
HCU002	Klebsiella pneumoniae	ST147	C04	blaNDM-1
HMI002	Enterobacter hormaechei	ST190	C02	blaKPC-2
HMI003	Klebsiella pneumoniae	ST37	C02	blaKPC-2
HSP001	Klebsiella pneumoniae	ST11	C05	blaNDM-5
HVB003	Serratia marcescens	-	C02	blaKPC-3
HVB004	Klebsiella pneumoniae	ST14	C02	blaKPC-3
JAF001	Klebsiella pneumoniae	ST258	C01	blaKPC-2
JP2001	Klebsiella pneumoniae	ST716	C02	blaKPC-2
PAD001	Klebsiella pneumoniae	ST11	C05	blaNDM-5
PAD003	Klebsiella pneumoniae	ST25	C01	blaNDM-5
PAD003	Klebsiella pneumoniae	ST25	S01	blaKPC-2
ROS002	Enterobacter hormaechei	ST66	C02	blaKPC-2
RSP001	Serratia marcescens	-	C02	blaKPC-2
VLP001	Enterobacter hormaechei	ST88	S03	blaOXA-439
ZAC001	Klebsiella pneumoniae	ST15	C01	blaKPC-2
ZAG001	Klebsiella pneumoniae	ST307	C03	blaKPC-2
ZAN001	Klebsiella pneumoniae	ST11	C02	blaKPC-2
ZAT001	Klebsiella pneumoniae	ST258	C05	blaNDM-5
ZAT002	Klebsiella pneumoniae	ST258	C05	blaNDM-5
ZAT003	Klebsiella pneumoniae	ST258	C05	blaNDM-5
ZAU001	Klebsiella pneumoniae	ST258	C05	blaNDM-5
ZBB001	Klebsiella pneumoniae	ST11	C03	blaNDM-5
ZBB002	Klebsiella pneumoniae	ST525	C04	blaNDM-1
ZBB003	Klebsiella pneumoniae	ST11	C03	blaNDM-5
ZBE001	Klebsiella pneumoniae	ST11	C05	blaNDM-5
ZBE002	Klebsiella pneumoniae	ST258	C05	blaNDM-5
ZBF001	Klebsiella pneumoniae	ST716	C02	blaKPC-2
ZBF003	Klebsiella pneumoniae	ST5994	C03	blaNDM-5
ZBK001	Klebsiella pneumoniae	ST307	C03	blaNDM-5
ZBN002	Klebsiella pneumoniae	ST11	C05	blaNDM-5
ZBW003	Klebsiella pneumoniae	ST258	C04	blaOXA-163
ZCA001	Klebsiella pneumoniae	ST11	C03	blaNDM-5
ZCA001	Klebsiella pneumoniae	ST11	C04	blaOXA-163
ZCC001	Klebsiella pneumoniae	ST11	C05	blaNDM-5
ZCC002	Klebsiella pneumoniae	ST258	C05	blaNDM-5
ZCC003	Klebsiella pneumoniae	ST273	C03	blaNDM-5
ZCE002	Klebsiella pneumoniae	ST11	C01	blaKPC-3
ZCG001	Klebsiella aerogenes	ST695	C03	blaNDM-5
ZCS001	Klebsiella pneumoniae	ST258	C01	blaKPC-2
ZCU001	Klebsiella pneumoniae	ST13	C02	blaKPC-2
ZCU001	Klebsiella pneumoniae	ST13	C04	blaOXA-163
ZCV001	Klebsiella pneumoniae	ST11	C04	blaKPC-3
ZCY001	Klebsiella pneumoniae	ST5995	C04	blaOXA-163
ZCZ001	Klebsiella pneumoniae	ST258	C01	blaKPC-2
ZCZ001	Klebsiella pneumoniae	ST258	C03	blaNDM-5
ZDA001	Klebsiella pneumoniae	ST307	C03	blaNDM-5
ZDA002	Klebsiella pneumoniae	ST258	C01	blaKPC-2
ZDD001	Klebsiella pneumoniae	ST11	C05	blaNDM-5
ZDL004	Klebsiella pneumoniae	ST462	C02	blaKPC-3
ZDZ001	Klebsiella pneumoniae	ST25	C02	blaKPC-2
ZEI002	Klebsiella pneumoniae	ST11	C01	blaKPC-2
ZET001	Klebsiella pneumoniae	ST11	C01	blaKPC-2
ZEU001	Enterobacter hormaechei	ST66	C02	blaKPC-2
ZEU002	Klebsiella pneumoniae	ST392	C03	blaKPC-2
ZEV013	Klebsiella pneumoniae	ST15	C02	blaKPC-2
ZEV015	Klebsiella pneumoniae	ST11	C01	blaKPC-2
ZEV019	Klebsiella pneumoniae	ST15	C02	blaKPC-2
