isolate	reference	reference_length_bp	cluster_or_singleton_label	representative_yes_no	pident	merged_aligned_bp	reference_coverage_percent	carbapenemase_gene	plasmid_size_class	passed_identity_95	passed_coverage_70	candidate_rank_by_coverage	final_selected_yes_no	reason_selected_or_excluded
FAV001	PQ241463.1	97651	C05	True	99.9	97553	99.9	NDM-5	large_ge_70000	True	True	1	yes	selected valid reference >=30000 bp
FAV001	pPAD003_22	21651	S01	True	99.5	15264	70.5	NDM-5	small_lt_30000	True	True	2	no	excluded small reference; best >=30000 bp candidate coverage was 99.9 and delta was -29.4
HVB004	pPAD003_22	21651	S01	True	99.7	18057	83.4	KPC-3	small_lt_30000	True	True	1	no	excluded small reference; best >=30000 bp candidate coverage was 80.2 and delta was 3.2
HVB004	pZCU001_77	76609	C02	True	99.7	61440	80.2	KPC-3	large_ge_70000	True	True	2	yes	selected valid reference >=30000 bp
JAF001	pZDA002_73	73455	C01	True	99.9	70884	96.5	KPC-2	large_ge_70000	True	True	1	yes	selected valid reference >=30000 bp
JAF001	pPAD003_22	21651	S01	True	99.5	16585	76.6	KPC-2	small_lt_30000	True	True	2	no	excluded small reference; best >=30000 bp candidate coverage was 96.5 and delta was -19.9
ZBE002	PQ241463.1	97651	C05	True	100.0	97456	99.8	NDM-5	large_ge_70000	True	True	1	yes	selected valid reference >=30000 bp
ZBE002	PQ241463.1	97651	C05	True	100.0	97065	99.4	NDM-5	large_ge_70000	True	True	2	no	excluded duplicate lower-coverage row for same isolate/reference/cluster
ZBE002	pPAD003_22	21651	S01	True	99.5	15199	70.2	NDM-5	small_lt_30000	True	True	3	no	excluded small reference; best >=30000 bp candidate coverage was 99.8 and delta was -29.6
ZCC002	PQ241463.1	97651	C05	True	100.0	97651	100.0	NDM-5	large_ge_70000	True	True	1	yes	selected valid reference >=30000 bp
ZCC002	pPAD003_22	21651	S01	True	99.5	15264	70.5	NDM-5	small_lt_30000	True	True	2	no	excluded small reference; best >=30000 bp candidate coverage was 100.0 and delta was -29.5
ZCE002	pZDA002_73	73455	C01	True	99.8	66991	91.2	KPC-3	large_ge_70000	True	True	1	yes	selected valid reference >=30000 bp
ZCE002	pPAD003_22	21651	S01	True	99.5	17256	79.7	KPC-3	small_lt_30000	True	True	2	no	excluded small reference; best >=30000 bp candidate coverage was 91.2 and delta was -11.5
ZCS001	pZDA002_73	73455	C01	True	99.8	71986	98.0	KPC-2	large_ge_70000	True	True	1	yes	selected valid reference >=30000 bp
ZCS001	pPAD003_22	21651	S01	True	99.5	16585	76.6	KPC-2	small_lt_30000	True	True	2	no	excluded small reference; best >=30000 bp candidate coverage was 98.0 and delta was -21.4
ZCZ001	pZDA002_73	73455	C01	True	99.9	70884	96.5	KPC-2+NDM-5	large_ge_70000	True	True	1	yes	selected valid reference >=30000 bp
ZCZ001	pM25992_249	249062	C03	True	99.9	227145	91.2	KPC-2+NDM-5	large_ge_70000	True	True	2	yes	selected valid reference >=30000 bp
ZCZ001	pPAD003_22	21651	S01	True	99.8	16152	74.6	KPC-2+NDM-5	small_lt_30000	True	True	3	no	excluded small reference; best >=30000 bp candidate coverage was 96.5 and delta was -21.9
