accession	plasmid_name	organism	source	length_bp	topology	local_fasta	notes
NA	BAR001_KPC_2	not recorded in local FASTA header	This study	77141	circular	data/plasmid_references/references_34/BAR001_KPC_2.fasta	Closed plasmid generated in this study; accession not assigned in local filename.
NA	CBO001_OXA_48L	not recorded in local FASTA header	This study	149728	circular	data/plasmid_references/references_34/CBO001_OXA_48L.fasta	Closed plasmid generated in this study; accession not assigned in local filename.
NA	COS001_NDM_5	not recorded in local FASTA header	This study	97647	circular	data/plasmid_references/references_34/COS001_NDM_5.fasta	Closed plasmid generated in this study; accession not assigned in local filename.
CP166596.1	CP166596.1_pM25992_249_IncFIB_IncHI1B_blaNDM-5	not recorded in local FASTA header	GenBank	249062	circular	data/plasmid_references/references_34/CP166596.1_pM25992_249_IncFIB_IncHI1B_blaNDM-5.fasta	Previously available local GenBank reference; accession inferred from filename where possible.
CP166597.1	CP166597.1_pM25992_10_IncFIB_pQil_IncFII_K_blaKPC-2_	not recorded in local FASTA header	GenBank	106787	circular	data/plasmid_references/references_34/CP166597.1_pM25992_10_IncFIB_pQil_IncFII_K_blaKPC-2_.fasta	Previously available local GenBank reference; accession inferred from filename where possible.
CP166600.1	CP166600.1_pM25979_249_IncFIB-IncHI1B_blaNDM-5_	not recorded in local FASTA header	GenBank	249264	circular	data/plasmid_references/references_34/CP166600.1_pM25979_249_IncFIB-IncHI1B_blaNDM-5_.fasta	Previously available local GenBank reference; accession inferred from filename where possible.
CP166602.1	CP166602.1_pM25979_84_IncM1_blaKPC-2	not recorded in local FASTA header	GenBank	84276	circular	data/plasmid_references/references_34/CP166602.1_pM25979_84_IncM1_blaKPC-2.fasta	Previously available local GenBank reference; accession inferred from filename where possible.
CP166604.1	CP166604.1_pM27284_154_IncC_blaNDM-1	not recorded in local FASTA header	GenBank	154458	circular	data/plasmid_references/references_34/CP166604.1_pM27284_154_IncC_blaNDM-1.fasta	Previously available local GenBank reference; accession inferred from filename where possible.
CP166605.1	CP166605.1_pM27284_79_IncR_blaKPC-3_	not recorded in local FASTA header	GenBank	79415	circular	data/plasmid_references/references_34/CP166605.1_pM27284_79_IncR_blaKPC-3_.fasta	Previously available local GenBank reference; accession inferred from filename where possible.
NA	HCU002_NDM_1	not recorded in local FASTA header	This study	150789	circular	data/plasmid_references/references_34/HCU002_NDM_1.fasta	Closed plasmid generated in this study; accession not assigned in local filename.
