Cluster and Representative plasmid	Plasmid ID	Accession	Origin	Replicon type	Carbapenemase	Size (bp)	GC (%)	Replicon type	Carbapenemase	Other Antimicrobial Resistance Genes	Best short-read coverage hits
C01; Representative: pZDA002_73; IncR	pM27284_79	CP166605.1	GenBank	IncR	KPC-2	79415	53.45	IncR	KPC-3	ND	ZCS001 (98.0%) - Klebsiella pneumoniae ST258 - KPC-2; ZCZ001 (96.5%) - Klebsiella pneumoniae ST258 - KPC-2+NDM-5; JAF001 (96.5%) - Klebsiella pneumoniae ST258 - KPC-2; ZCE002 (91.2%) - Klebsiella pneumoniae ST11 - KPC-3; ZEV015 (85.9%) - Klebsiella pneumoniae ST11 - KPC-2; ZET001 (85.0%) - Klebsiella pneumoniae ST11 - KPC-2
C01; Representative: pZDA002_73; IncR	pPAD003_131	ND	This study	IncR	KPC-2	130638	49.96	IncR	NDM-5	ND	ZCS001 (98.0%) - Klebsiella pneumoniae ST258 - KPC-2; ZCZ001 (96.5%) - Klebsiella pneumoniae ST258 - KPC-2+NDM-5; JAF001 (96.5%) - Klebsiella pneumoniae ST258 - KPC-2; ZCE002 (91.2%) - Klebsiella pneumoniae ST11 - KPC-3; ZEV015 (85.9%) - Klebsiella pneumoniae ST11 - KPC-2; ZET001 (85.0%) - Klebsiella pneumoniae ST11 - KPC-2
C01; Representative: pZDA002_73; IncR	pZAC001_148	ND	This study	IncR	KPC-2	148374	52.05	IncR	KPC-2	ND	ZCS001 (98.0%) - Klebsiella pneumoniae ST258 - KPC-2; ZCZ001 (96.5%) - Klebsiella pneumoniae ST258 - KPC-2+NDM-5; JAF001 (96.5%) - Klebsiella pneumoniae ST258 - KPC-2; ZCE002 (91.2%) - Klebsiella pneumoniae ST11 - KPC-3; ZEV015 (85.9%) - Klebsiella pneumoniae ST11 - KPC-2; ZET001 (85.0%) - Klebsiella pneumoniae ST11 - KPC-2
C01; Representative: pZDA002_73; IncR	pZDA002_73	ND	This study	IncR	KPC-2	73455	54.74	IncR	KPC-2	ND	ZCS001 (98.0%) - Klebsiella pneumoniae ST258 - KPC-2; ZCZ001 (96.5%) - Klebsiella pneumoniae ST258 - KPC-2+NDM-5; JAF001 (96.5%) - Klebsiella pneumoniae ST258 - KPC-2; ZCE002 (91.2%) - Klebsiella pneumoniae ST11 - KPC-3; ZEV015 (85.9%) - Klebsiella pneumoniae ST11 - KPC-2; ZET001 (85.0%) - Klebsiella pneumoniae ST11 - KPC-2
C01; Representative: pZDA002_73; IncR	pZEI002_55	ND	This study	IncR	KPC-2	54777	53.67	IncR	KPC-2	ND	ZCS001 (98.0%) - Klebsiella pneumoniae ST258 - KPC-2; ZCZ001 (96.5%) - Klebsiella pneumoniae ST258 - KPC-2+NDM-5; JAF001 (96.5%) - Klebsiella pneumoniae ST258 - KPC-2; ZCE002 (91.2%) - Klebsiella pneumoniae ST11 - KPC-3; ZEV015 (85.9%) - Klebsiella pneumoniae ST11 - KPC-2; ZET001 (85.0%) - Klebsiella pneumoniae ST11 - KPC-2
C02; Representative: pZCU001_77; IncL/M	pBAR001_77	ND	This study	IncL/M	KPC-2	77141	52.60	IncL/M	KPC-2	ND	ZAN001 (98.1%) - Klebsiella pneumoniae ST11 - KPC-2; ZEV013 (98.0%) - Klebsiella pneumoniae ST15 - KPC-2; ZEV019 (98.0%) - Klebsiella pneumoniae ST15 - KPC-2; HCM001 (97.8%) - Klebsiella pneumoniae ST13 - KPC-2; ZBF001 (95.0%) - Klebsiella pneumoniae ST716 - KPC-2; HMI002 (91.6%) - Enterobacter hormaechei ST190 - KPC-2; HMI003 (87.8%) - Klebsiella pneumoniae ST37 - KPC-2; ZEU001 (87.8%) - Enterobacter hormaechei ST66 - KPC-2; JP2001 (87.7%) - Klebsiella pneumoniae ST716 - KPC-2; HCF003 (87.4%) - Enterobacter hormaechei ST190 - KPC-2; ZDL004 (87.2%) - Klebsiella pneumoniae ST462 - KPC-3; HVB003 (80.2%) - Serratia marcescens - - KPC-3; HVB004 (80.2%) - Klebsiella pneumoniae ST14 - KPC-3; RSP001 (78.2%) - Serratia marcescens - - KPC-2
C02; Representative: pZCU001_77; IncL/M	pM25979_84	CP166602.1	GenBank	IncL/M	KPC-2	84276	53.31	IncL/M	KPC-2	ND	ZAN001 (98.1%) - Klebsiella pneumoniae ST11 - KPC-2; ZEV013 (98.0%) - Klebsiella pneumoniae ST15 - KPC-2; ZEV019 (98.0%) - Klebsiella pneumoniae ST15 - KPC-2; HCM001 (97.8%) - Klebsiella pneumoniae ST13 - KPC-2; ZBF001 (95.0%) - Klebsiella pneumoniae ST716 - KPC-2; HMI002 (91.6%) - Enterobacter hormaechei ST190 - KPC-2; HMI003 (87.8%) - Klebsiella pneumoniae ST37 - KPC-2; ZEU001 (87.8%) - Enterobacter hormaechei ST66 - KPC-2; JP2001 (87.7%) - Klebsiella pneumoniae ST716 - KPC-2; HCF003 (87.4%) - Enterobacter hormaechei ST190 - KPC-2; ZDL004 (87.2%) - Klebsiella pneumoniae ST462 - KPC-3; HVB003 (80.2%) - Serratia marcescens - - KPC-3; HVB004 (80.2%) - Klebsiella pneumoniae ST14 - KPC-3; RSP001 (78.2%) - Serratia marcescens - - KPC-2
C02; Representative: pZCU001_77; IncL/M	pROS002_77	ND	This study	IncL/M	KPC-2	77141	52.60	IncL/M	KPC-2	ND	ZAN001 (98.1%) - Klebsiella pneumoniae ST11 - KPC-2; ZEV013 (98.0%) - Klebsiella pneumoniae ST15 - KPC-2; ZEV019 (98.0%) - Klebsiella pneumoniae ST15 - KPC-2; HCM001 (97.8%) - Klebsiella pneumoniae ST13 - KPC-2; ZBF001 (95.0%) - Klebsiella pneumoniae ST716 - KPC-2; HMI002 (91.6%) - Enterobacter hormaechei ST190 - KPC-2; HMI003 (87.8%) - Klebsiella pneumoniae ST37 - KPC-2; ZEU001 (87.8%) - Enterobacter hormaechei ST66 - KPC-2; JP2001 (87.7%) - Klebsiella pneumoniae ST716 - KPC-2; HCF003 (87.4%) - Enterobacter hormaechei ST190 - KPC-2; ZDL004 (87.2%) - Klebsiella pneumoniae ST462 - KPC-3; HVB003 (80.2%) - Serratia marcescens - - KPC-3; HVB004 (80.2%) - Klebsiella pneumoniae ST14 - KPC-3; RSP001 (78.2%) - Serratia marcescens - - KPC-2
C02; Representative: pZCU001_77; IncL/M	pZCU001_77	ND	This study	IncL/M	KPC-2	76609	52.18	IncL/M	KPC-2	ND	ZAN001 (98.1%) - Klebsiella pneumoniae ST11 - KPC-2; ZEV013 (98.0%) - Klebsiella pneumoniae ST15 - KPC-2; ZEV019 (98.0%) - Klebsiella pneumoniae ST15 - KPC-2; HCM001 (97.8%) - Klebsiella pneumoniae ST13 - KPC-2; ZBF001 (95.0%) - Klebsiella pneumoniae ST716 - KPC-2; HMI002 (91.6%) - Enterobacter hormaechei ST190 - KPC-2; HMI003 (87.8%) - Klebsiella pneumoniae ST37 - KPC-2; ZEU001 (87.8%) - Enterobacter hormaechei ST66 - KPC-2; JP2001 (87.7%) - Klebsiella pneumoniae ST716 - KPC-2; HCF003 (87.4%) - Enterobacter hormaechei ST190 - KPC-2; ZDL004 (87.2%) - Klebsiella pneumoniae ST462 - KPC-3; HVB003 (80.2%) - Serratia marcescens - - KPC-3; HVB004 (80.2%) - Klebsiella pneumoniae ST14 - KPC-3; RSP001 (78.2%) - Serratia marcescens - - KPC-2
C02; Representative: pZCU001_77; IncL/M	pZDZ001_75	ND	This study	IncL/M	KPC-2	75350	52.29	IncL/M	KPC-2	ND	ZAN001 (98.1%) - Klebsiella pneumoniae ST11 - KPC-2; ZEV013 (98.0%) - Klebsiella pneumoniae ST15 - KPC-2; ZEV019 (98.0%) - Klebsiella pneumoniae ST15 - KPC-2; HCM001 (97.8%) - Klebsiella pneumoniae ST13 - KPC-2; ZBF001 (95.0%) - Klebsiella pneumoniae ST716 - KPC-2; HMI002 (91.6%) - Enterobacter hormaechei ST190 - KPC-2; HMI003 (87.8%) - Klebsiella pneumoniae ST37 - KPC-2; ZEU001 (87.8%) - Enterobacter hormaechei ST66 - KPC-2; JP2001 (87.7%) - Klebsiella pneumoniae ST716 - KPC-2; HCF003 (87.4%) - Enterobacter hormaechei ST190 - KPC-2; ZDL004 (87.2%) - Klebsiella pneumoniae ST462 - KPC-3; HVB003 (80.2%) - Serratia marcescens - - KPC-3; HVB004 (80.2%) - Klebsiella pneumoniae ST14 - KPC-3; RSP001 (78.2%) - Serratia marcescens - - KPC-2
C03; Representative: pM25992_249; IncFIB(Mar)/IncHI1B	pM25992_249	CP166596.1	GenBank	IncFIB(Mar)/IncHI1B	NDM-5	249062	46.49	IncFIB(Mar)/IncHI1B	NDM-5	ND	ZCC003 (100.0%) - Klebsiella pneumoniae ST273 - NDM-5; ZCG001 (99.9%) - Klebsiella aerogenes ST695 - NDM-5; ZBK001 (99.0%) - Klebsiella pneumoniae ST307 - NDM-5; ZBB003 (98.6%) - Klebsiella pneumoniae ST11 - NDM-5; ZBB001 (94.3%) - Klebsiella pneumoniae ST11 - NDM-5; ZCZ001 (91.2%) - Klebsiella pneumoniae ST258 - KPC-2+NDM-5; ZEU002 (79.3%) - Klebsiella pneumoniae ST392 - KPC-2; ZBF003 (100.0%) - Klebsiella pneumoniae ST5994 - NDM-5
