isolate	candidate_count	candidate_hits	small_candidate_hits	valid_large_or_medium_candidates	reconstructed_final_assignments	publication_sankey_clusters	clean_PS0007_v3_clusters	diagnostic_flags
FAV001	2	C05:PQ241463.1:99.9; S01:pPAD003_22:70.5	S01:pPAD003_22:70.5	C05:PQ241463.1:99.9	C05:PQ241463.1:99.9	C05	C05	has_small_candidate;small_and_large_valid_candidates;small_excluded_by_reconstructed_rule
HVB004	2	S01:pPAD003_22:83.4; C02:pZCU001_77:80.2	S01:pPAD003_22:83.4	C02:pZCU001_77:80.2	C02:pZCU001_77:80.2	S01	C02	has_small_candidate;small_and_large_valid_candidates;S01_in_publication_sankey_input;small_excluded_by_reconstructed_rule
JAF001	2	C01:pZDA002_73:96.5; S01:pPAD003_22:76.6	S01:pPAD003_22:76.6	C01:pZDA002_73:96.5	C01:pZDA002_73:96.5	C01	C01	has_small_candidate;small_and_large_valid_candidates;small_excluded_by_reconstructed_rule
ZBE001	2	C05:PQ241463.1:99.8; C05:PQ241463.1:87.0	none	C05:PQ241463.1:99.8; C05:PQ241463.1:87.0	C05:PQ241463.1:99.8	C05	C05	none
ZBE002	3	C05:PQ241463.1:99.8; C05:PQ241463.1:99.4; S01:pPAD003_22:70.2	S01:pPAD003_22:70.2	C05:PQ241463.1:99.8; C05:PQ241463.1:99.4	C05:PQ241463.1:99.8	C05	C05	has_small_candidate;small_and_large_valid_candidates;small_excluded_by_reconstructed_rule
ZCC002	2	C05:PQ241463.1:100.0; S01:pPAD003_22:70.5	S01:pPAD003_22:70.5	C05:PQ241463.1:100.0	C05:PQ241463.1:100.0	C05	C05	has_small_candidate;small_and_large_valid_candidates;small_excluded_by_reconstructed_rule
ZCE002	2	C01:pZDA002_73:91.2; S01:pPAD003_22:79.7	S01:pPAD003_22:79.7	C01:pZDA002_73:91.2	C01:pZDA002_73:91.2	C01	C01	has_small_candidate;small_and_large_valid_candidates;small_excluded_by_reconstructed_rule
ZCS001	2	C01:pZDA002_73:98.0; S01:pPAD003_22:76.6	S01:pPAD003_22:76.6	C01:pZDA002_73:98.0	C01:pZDA002_73:98.0	C01	C01	has_small_candidate;small_and_large_valid_candidates;small_excluded_by_reconstructed_rule
ZCZ001	3	C01:pZDA002_73:96.5; C03:pM25992_249:91.2; S01:pPAD003_22:74.6	S01:pPAD003_22:74.6	C01:pZDA002_73:96.5; C03:pM25992_249:91.2	C03:pM25992_249:91.2; C01:pZDA002_73:96.5	C01;C03	C01;C03	has_small_candidate;small_and_large_valid_candidates;small_excluded_by_reconstructed_rule;multiple_final_candidates_after_rule
