sample_id	assembly_filename	assembly_group	local_source_relative_path	size_bytes	included_in_repository	notes
ATB_HCF003	ATB_HCF003.contigs.fasta	short-read assembly used for local projection input	../RECAPTARII/ENSAMBLADOS_RECAPTAR/Listos_para_analisis/ATB_HCF003.contigs.fasta	5328419	no	Inventory only; full assembly FASTA is not included by default because assemblies are large and should be added only after approval.
ATB_JP2001	ATB_JP2001.contigs.fasta	short-read assembly used for local projection input	../RECAPTARII/ENSAMBLADOS_RECAPTAR/Listos_para_analisis/ATB_JP2001.contigs.fasta	5580440	no	Inventory only; full assembly FASTA is not included by default because assemblies are large and should be added only after approval.
FAV001	FAV001.contigs.fasta	short-read assembly used for local projection input	../RECAPTARII/ENSAMBLADOS_RECAPTAR/Listos_para_analisis/FAV001.contigs.fasta	5813779	no	Inventory only; full assembly FASTA is not included by default because assemblies are large and should be added only after approval.
FAV002	FAV002.contigs.fasta	short-read assembly used for local projection input	../RECAPTARII/ENSAMBLADOS_RECAPTAR/Listos_para_analisis/FAV002.contigs.fasta	5029766	no	Inventory only; full assembly FASTA is not included by default because assemblies are large and should be added only after approval.
GUT001	GUT001.contigs.fasta	short-read assembly used for local projection input	../RECAPTARII/ENSAMBLADOS_RECAPTAR/Listos_para_analisis/GUT001.contigs.fasta	5639123	no	Inventory only; full assembly FASTA is not included by default because assemblies are large and should be added only after approval.
HCE001	HCE001.contigs.fasta	short-read assembly used for local projection input	../RECAPTARII/ENSAMBLADOS_RECAPTAR/Listos_para_analisis/HCE001.contigs.fasta	5807352	no	Inventory only; full assembly FASTA is not included by default because assemblies are large and should be added only after approval.
HCF002	HCF002.contigs.fasta	short-read assembly used for local projection input	../RECAPTARII/ENSAMBLADOS_RECAPTAR/Listos_para_analisis/HCF002.contigs.fasta	5758512	no	Inventory only; full assembly FASTA is not included by default because assemblies are large and should be added only after approval.
HCM001	HCM001.contigs.fasta	short-read assembly used for local projection input	../RECAPTARII/ENSAMBLADOS_RECAPTAR/Listos_para_analisis/HCM001.contigs.fasta	5603355	no	Inventory only; full assembly FASTA is not included by default because assemblies are large and should be added only after approval.
HCU001	HCU001.contigs.fasta	short-read assembly used for local projection input	../RECAPTARII/ENSAMBLADOS_RECAPTAR/Listos_para_analisis/HCU001.contigs.fasta	4286036	no	Inventory only; full assembly FASTA is not included by default because assemblies are large and should be added only after approval.
HMI-004	HMI-004.contigs.fasta	short-read assembly used for local projection input	../RECAPTARII/ENSAMBLADOS_RECAPTAR/Listos_para_analisis/HMI-004.contigs.fasta	5281980	no	Inventory only; full assembly FASTA is not included by default because assemblies are large and should be added only after approval.
