display_cluster_id	member_count	members	representative
C01	5	pM27284_79; pPAD003_131; pZAC001_148; pZDA002_73; pZEI002_55	pZDA002_73
C02	5	pBAR001_77; pM25979_84; pROS002_77; pZCU001_77; pZDZ001_75	pZCU001_77
C03	7	pM25992_249; pM25979_249; pZAG001_232; pZCA001_256; pZDA001_456; PQ247031.1; PQ247032.1	pM25992_249
C04	7	pCBO001_150; pM27284_154; pHCU002_151; pM17277_139; pZCA001_134; pZCU001_132; pZCV001_167	pCBO001_150
C05	3	pCOS001_98; PQ241462.1; PQ241463.1	PQ241463.1
C06	2	pWW14A-KPC2; pWW19C-KPC2	pWW19C-KPC2
S01	1	pPAD003_22	pPAD003_22
S03	1	pM25992_107	pM25992_107
S04	1	pVLP001_339	pVLP001_339
S05	1	pPA2047_44	pPA2047_44
S06	1	pHdC_pae	pHdC_pae
