sample	assigned_group	representative_id	representative_name	coverage_percent	weighted_pident	max_pident	rank_by_coverage
ATB_HCF003.contigs	C02	SEQ__ZCU001_KPC_2__00001	pZCU001_77	87.376157	99.847479	100.000000	1
ATB_JP2001.contigs	C02	SEQ__ZCU001_KPC_2__00001	pZCU001_77	87.698573	99.862723	100.000000	1
FAV001.contigs	C06	SEQ__PQ241463.1__00001	PQ241463.1	99.949821	99.942552	100.000000	1
FAV001.contigs	S01	SEQ__PAD003_KPC_2__00001	pPAD003_22	70.541776	99.459326	100.000000	2
GUT001.contigs	C04	SEQ__CBO001_OXA_48L__00001	pCBO001_150	71.052842	98.743669	100.000000	1
HCE001.contigs	C06	SEQ__PQ241463.1__00001	PQ241463.1	99.960062	99.947426	100.000000	1
HCF002.contigs	C06	SEQ__PQ241463.1__00001	PQ241463.1	99.835127	99.949293	100.000000	1
HCM001.contigs	C02	SEQ__ZCU001_KPC_2__00001	pZCU001_77	97.779634	99.939395	100.000000	1
HCU001.contigs	C04	SEQ__CBO001_OXA_48L__00001	pCBO001_150	80.652249	98.779938	100.000000	1
HMI002.contigs	C02	SEQ__ZCU001_KPC_2__00001	pZCU001_77	91.571486	99.766718	100.000000	1
HMI003.contigs	C02	SEQ__ZCU001_KPC_2__00001	pZCU001_77	87.796473	99.734785	100.000000	1
HSP001.contigs	C06	SEQ__PQ241463.1__00001	PQ241463.1	99.479780	99.950935	100.000000	1
HVB003.contigs	C02	SEQ__ZCU001_KPC_2__00001	pZCU001_77	80.194233	99.727519	100.000000	1
HVB004.contigs	S01	SEQ__PAD003_KPC_2__00001	pPAD003_22	83.409542	99.741353	100.000000	1
HVB004.contigs	C02	SEQ__ZCU001_KPC_2__00001	pZCU001_77	80.158989	99.694250	100.000000	2
JAF001.contigs	C01	SEQ__ZDA002_KPC_2__00001	pZDA002_73	96.498537	99.911301	100.000000	1
JAF001.contigs	S01	SEQ__PAD003_KPC_2__00001	pPAD003_22	76.615399	99.482378	100.000000	2
PAD001.contigs	C06	SEQ__PQ241463.1__00001	PQ241463.1	99.858680	99.858355	100.000000	1
RSP001.contigs	C02	SEQ__ZCU001_KPC_2__00001	pZCU001_77	78.185331	99.823350	100.000000	1
ZAN001.contigs	C02	SEQ__ZCU001_KPC_2__00001	pZCU001_77	98.081165	99.935645	100.000000	1
ZAT001.contigs	C06	SEQ__PQ241463.1__00001	PQ241463.1	99.960062	99.947501	100.000000	1
ZAT002.contigs	C06	SEQ__PQ241463.1__00001	PQ241463.1	99.960062	99.942554	100.000000	1
