isolate	reference	reference_length_bp	cluster_or_singleton_label	representative_yes_no	pident	merged_aligned_bp	reference_coverage_percent	carbapenemase_gene	plasmid_size_class	passed_identity_95	passed_coverage_70	candidate_rank_by_coverage	final_selected_yes_no	reason_selected_or_excluded
FAV001	PQ241463.1	97651	C05	True	99.9	97553	99.9	NDM-5	large_ge_70000	True	True	1	yes	selected valid reference >=30000 bp
FAV001	pPAD003_22	21651	S01	True	99.5	15264	70.5	NDM-5	small_lt_30000	True	True	2	no	excluded small reference; best >=30000 bp candidate coverage was 99.9 and delta was -29.4
GUT001	pCBO001_150	149728	C04	True	98.7	106457	71.1	NDM-1	large_ge_70000	True	True	1	yes	selected valid reference >=30000 bp
HCE001	PQ241463.1	97651	C05	True	99.9	97651	100.0	NDM-5	large_ge_70000	True	True	1	yes	selected valid reference >=30000 bp
HCF002	PQ241463.1	97651	C05	True	99.9	97456	99.8	NDM-5	large_ge_70000	True	True	1	yes	selected valid reference >=30000 bp
HCF003	pZCU001_77	76609	C02	True	99.8	66956	87.4	KPC-2	large_ge_70000	True	True	1	yes	selected valid reference >=30000 bp
HCM001	pZCU001_77	76609	C02	True	99.9	74924	97.8	KPC-2	large_ge_70000	True	True	1	yes	selected valid reference >=30000 bp
HCU001	pCBO001_150	149728	C04	True	98.8	120830	80.7	- NDM-1	large_ge_70000	True	True	1	yes	selected valid reference >=30000 bp
HMI002	pZCU001_77	76609	C02	True	99.8	70174	91.6	KPC-2	large_ge_70000	True	True	1	yes	selected valid reference >=30000 bp
HMI003	pZCU001_77	76609	C02	True	99.7	67263	87.8	KPC-2	large_ge_70000	True	True	1	yes	selected valid reference >=30000 bp
HSP001	PQ241463.1	97651	C05	True	100.0	97163	99.5	NDM-5	large_ge_70000	True	True	1	yes	selected valid reference >=30000 bp
HVB003	pZCU001_77	76609	C02	True	99.7	61440	80.2	- KPC-3	large_ge_70000	True	True	1	yes	selected valid reference >=30000 bp
HVB004	pPAD003_22	21651	S01	True	99.7	18057	83.4	KPC-3	small_lt_30000	True	True	1	no	excluded small reference; best >=30000 bp candidate coverage was 80.2 and delta was 3.2
HVB004	pZCU001_77	76609	C02	True	99.7	61440	80.2	KPC-3	large_ge_70000	True	True	2	yes	selected valid reference >=30000 bp
JAF001	pZDA002_73	73455	C01	True	99.9	70884	96.5	KPC-2	large_ge_70000	True	True	1	yes	selected valid reference >=30000 bp
JAF001	pPAD003_22	21651	S01	True	99.5	16585	76.6	KPC-2	small_lt_30000	True	True	2	no	excluded small reference; best >=30000 bp candidate coverage was 96.5 and delta was -19.9
JP2001	pZCU001_77	76609	C02	True	99.9	67186	87.7	KPC-2	large_ge_70000	True	True	1	yes	selected valid reference >=30000 bp
PAD001	PQ241463.1	97651	C05	True	99.9	97553	99.9	NDM-5	large_ge_70000	True	True	1	yes	selected valid reference >=30000 bp
RSP001	pZCU001_77	76609	C02	True	99.8	59908	78.2	- KPC-2	large_ge_70000	True	True	1	yes	selected valid reference >=30000 bp
ZAN001	pZCU001_77	76609	C02	True	99.9	75153	98.1	KPC-2	large_ge_70000	True	True	1	yes	selected valid reference >=30000 bp
ZAT001	PQ241463.1	97651	C05	True	99.9	97651	100.0	NDM-5	large_ge_70000	True	True	1	yes	selected valid reference >=30000 bp
ZAT002	PQ241463.1	97651	C05	True	99.9	97651	100.0	NDM-5	large_ge_70000	True	True	1	yes	selected valid reference >=30000 bp
ZAT003	PQ241463.1	97651	C05	True	100.0	93745	96.0	NDM-5	large_ge_70000	True	True	1	yes	selected valid reference >=30000 bp
ZAU001	PQ241463.1	97651	C05	True	99.9	97651	100.0	NDM-5	large_ge_70000	True	True	1	yes	selected valid reference >=30000 bp
