sample	representative_id	representative_name	cluster_id	representative_length_bp	filtered_hsp_count	raw_hsp_bp	merged_covered_bp	coverage_percent	weighted_pident	max_pident	best_bitscore	best_evalue	merged_interval_count	assigned_70pct
ATB_HCF003.contigs	SEQ__ZDA002_KPC_2__00001	pZDA002_73	C01	73455	15	17038	17026	23.178817	99.324999	100.000000	9156.000000	0.0	12	False
ATB_HCF003.contigs	SEQ__ZCU001_KPC_2__00001	pZCU001_77	C02	76609	14	68162	66938	87.376157	99.847479	100.000000	86234.000000	0.0	3	True
ATB_HCF003.contigs	SEQ__CP166596.1_pM25992_249_IncFIB_IncHI1B_blaNDM-5__00001	pM25992_249	C03	249062	20	17643	16055	6.446186	99.750628	100.000000	5125.000000	0.0	16	False
ATB_HCF003.contigs	SEQ__CBO001_OXA_48L__00001	pCBO001_150	C04	149728	11	6154	5916	3.951165	98.976358	100.000000	1640.000000	0.0	6	False
ATB_HCF003.contigs	SEQ__pWW19C-KPC2_CP080110.1__00001	pWW19C-KPC2	C05	34721	5	9224	9065	26.108119	99.403354	99.844000	14181.000000	0.0	2	False
ATB_HCF003.contigs	SEQ__PQ241463.1__00001	PQ241463.1	C06	97651	8	9196	7953	8.144310	99.902317	100.000000	6274.000000	0.0	6	False
ATB_HCF003.contigs	SEQ__PAD003_KPC_2__00001	pPAD003_22	S01	21651	6	8751	8747	40.399982	99.805942	100.000000	9014.000000	0.0	5	False
ATB_HCF003.contigs	SEQ__CP166597.1_pM25992_10_IncFIB_pQil_IncFII_K_blaKPC-2___00001	pM25992_107	S03	106787	8	11317	11310	10.591177	99.372744	100.000000	9156.000000	0.0	6	False
ATB_HCF003.contigs	SEQ__VLP001_OXA_439__00001	pVLP001_339	S04	338985	56	63974	60432	17.827337	99.365427	100.000000	13239.000000	0.0	25	False
ATB_HCF003.contigs	SEQ__MN082782.1_pPA2047__00001	pPA2047_44	S05	43660	4	3375	3221	7.377462	98.903993	99.952000	3818.000000	0.0	2	False
ATB_HCF003.contigs	SEQ__pHdC_pae_OL780449.1__00001	pHdC_pae	S06	42750	6	7188	7180	16.795322	98.386336	100.000000	4388.000000	0.0	4	False
ATB_JP2001.contigs	SEQ__ZDA002_KPC_2__00001	pZDA002_73	C01	73455	20	16710	15731	21.415833	99.455508	100.000000	5419.000000	0.0	12	False
ATB_JP2001.contigs	SEQ__ZCU001_KPC_2__00001	pZCU001_77	C02	76609	11	67880	67185	87.698573	99.862723	100.000000	54187.000000	0.0	7	True
ATB_JP2001.contigs	SEQ__CP166596.1_pM25992_249_IncFIB_IncHI1B_blaNDM-5__00001	pM25992_249	C03	249062	23	16947	15803	6.345006	99.262455	100.000000	5086.000000	0.0	11	False
ATB_JP2001.contigs	SEQ__CBO001_OXA_48L__00001	pCBO001_150	C04	149728	10	7819	7504	5.011755	98.350104	100.000000	3701.000000	0.0	6	False
